suburb,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Keilor,219.0,220.0,221.66666666666666,228.6,227.25,231.25,240.0,257.5,289.0,327.5,350.0,345.0,355.0,369.5,372.5,377.0,402.0,406.25,435.0,435.0,412.5,423.25
Moonee Ponds,188.75,205.0,220.0,220.0,231.25,237.0,255.0,280.0,315.0,347.0,355.0,376.25,388.75,386.25,385.0,392.5,400.0,417.5,437.5,445.0,431.25,405.5
Ascot Vale,188.75,205.0,220.0,220.0,231.25,237.0,255.0,280.0,315.0,347.0,355.0,376.25,388.75,386.25,385.0,392.5,400.0,417.5,437.5,445.0,431.25,405.5
Oak Park,161.25,168.75,175.0,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.25,322.5,332.5,343.75,350.0,365.0,382.5,395.0,400.0,387.5
Glenroy,161.25,168.75,175.0,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.25,322.5,332.5,343.75,350.0,365.0,382.5,395.0,400.0,387.5
Fawkner,161.25,168.75,175.0,180.0,185.0,191.25,200.75,225.0,265.0,298.75,312.5,327.5,327.25,322.5,332.5,343.75,350.0,365.0,382.5,395.0,400.0,387.5
Pascoe Vale,171.25,181.25,190.0,194.0,200.0,205.0,221.25,255.0,291.0,315.0,325.0,340.0,346.25,340.0,350.0,355.0,368.75,393.75,402.5,417.5,420.0,410.0
Coburg North,171.25,181.25,190.0,194.0,200.0,205.0,221.25,255.0,291.0,315.0,325.0,340.0,346.25,340.0,350.0,355.0,368.75,393.75,402.5,417.5,420.0,410.0
Sunbury,166.25,173.75,185.0,195.0,200.0,201.25,208.75,222.5,245.0,266.25,287.5,303.75,310.0,316.25,320.0,327.5,331.25,345.0,363.25,376.25,373.75,385.0
Brunswick West,143.75,157.5,170.0,178.0,185.0,186.25,200.0,220.75,256.25,280.0,290.0,300.0,322.25,324.25,326.25,331.25,345.0,352.5,367.5,385.0,393.75,360.0
Bundoora,186.25,196.25,208.33333333333334,216.0,222.5,230.0,241.25,257.5,290.0,317.5,332.0,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5
Greensborough,186.25,196.25,208.33333333333334,216.0,222.5,230.0,241.25,257.5,290.0,317.5,332.0,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5
Hurstbridge,186.25,196.25,208.33333333333334,216.0,222.5,230.0,241.25,257.5,290.0,317.5,332.0,347.5,348.5,340.0,348.75,353.75,360.0,373.75,390.0,400.0,400.0,407.5
Eltham,198.75,211.25,225.0,231.6,237.75,246.25,256.5,281.25,310.0,342.5,346.25,361.25,363.75,365.0,378.75,397.5,402.5,420.0,444.5,450.0,456.25,465.75
Research,198.75,211.25,225.0,231.6,237.75,246.25,256.5,281.25,310.0,342.5,346.25,361.25,363.75,365.0,378.75,397.5,402.5,420.0,444.5,450.0,456.25,465.75
Montmorency,198.75,211.25,225.0,231.6,237.75,246.25,256.5,281.25,310.0,342.5,346.25,361.25,363.75,365.0,378.75,397.5,402.5,420.0,444.5,450.0,456.25,465.75
Fairfield,150.25,165.0,178.33333333333334,191.0,193.75,200.0,205.0,239.5,270.0,287.5,312.5,322.5,328.75,342.5,348.75,345.0,367.5,382.5,405.0,443.75,435.0,398.75
Alphington,150.25,165.0,178.33333333333334,191.0,193.75,200.0,205.0,239.5,270.0,287.5,312.5,322.5,328.75,342.5,348.75,345.0,367.5,382.5,405.0,443.75,435.0,398.75
Heidelberg,181.25,193.75,203.33333333333334,211.0,220.0,223.75,236.25,256.5,290.0,312.5,328.75,341.25,348.75,350.0,360.0,360.0,372.5,393.25,411.25,420.0,421.25,417.5
Heidelberg West,181.25,193.75,203.33333333333334,211.0,220.0,223.75,236.25,256.5,290.0,312.5,328.75,341.25,348.75,350.0,360.0,360.0,372.5,393.25,411.25,420.0,421.25,417.5
Ivanhoe,190.0,208.75,212.0,221.6,226.25,237.0,245.0,267.5,317.5,350.0,351.25,372.5,390.5,385.0,398.75,413.75,425.0,447.5,453.75,462.5,467.0,457.0
Ivanhoe East,190.0,208.75,212.0,221.6,226.25,237.0,245.0,267.5,317.5,350.0,351.25,372.5,390.5,385.0,398.75,413.75,425.0,447.5,453.75,462.5,467.0,457.0
Mill Park,181.25,187.5,196.66666666666666,203.0,211.25,218.75,223.75,244.5,275.0,302.5,325.0,331.25,331.25,330.0,330.0,335.0,345.0,355.0,367.5,371.25,378.75,380.0
Epping,181.25,187.5,196.66666666666666,203.0,211.25,218.75,223.75,244.5,275.0,302.5,325.0,331.25,331.25,330.0,330.0,335.0,345.0,355.0,367.5,371.25,378.75,380.0
Northcote,195.0,211.25,226.66666666666666,226.0,240.75,248.75,263.75,293.75,345.0,376.25,395.0,410.0,430.0,436.25,447.5,450.0,447.5,466.25,493.75,500.0,500.0,493.75
Preston,170.0,177.5,185.0,192.0,200.0,208.75,222.5,248.75,286.25,322.5,337.5,350.0,352.0,355.0,363.75,372.5,382.5,396.25,415.75,425.0,422.5,407.5
Reservoir,162.5,167.5,173.33333333333334,180.0,186.25,188.75,199.0,218.75,255.0,282.5,297.5,311.25,312.5,320.0,322.25,330.0,341.25,352.5,367.5,380.0,382.5,380.0
Thomastown,160.0,165.0,172.66666666666666,179.0,184.5,190.0,196.25,212.5,242.5,275.0,295.0,300.0,304.75,307.5,315.0,320.0,328.75,342.5,355.0,360.0,362.5,360.0
Lalor,160.0,165.0,172.66666666666666,179.0,184.5,190.0,196.25,212.5,242.5,275.0,295.0,300.0,304.75,307.5,315.0,320.0,328.75,342.5,355.0,360.0,362.5,360.0
Thornbury,155.0,166.25,171.66666666666666,179.0,182.5,186.25,198.75,220.25,265.0,293.75,302.75,305.0,335.0,330.0,342.0,352.5,363.75,383.75,413.75,421.25,422.5,402.5
Whittlesea,156.25,167.0,178.33333333333334,197.0,207.5,214.5,237.5,251.25,289.25,319.5,332.5,350.0,335.0,330.0,330.0,338.75,345.0,355.0,372.5,382.5,390.0,393.0
Bayswater,161.25,170.0,173.33333333333334,179.0,183.75,193.75,201.25,223.25,252.5,278.75,295.75,316.5,320.0,326.25,337.5,346.25,350.0,363.25,378.75,388.75,390.0,400.0
Boronia,167.5,178.75,181.66666666666666,188.0,193.75,206.25,217.5,237.5,262.5,287.5,310.25,322.5,327.5,332.5,340.0,350.0,352.5,365.0,383.75,390.0,392.5,397.5
Croydon,170.25,180.0,186.66666666666666,192.0,200.0,206.25,220.0,237.0,266.25,295.0,311.25,332.5,340.0,341.25,350.5,361.25,373.75,383.75,398.75,407.5,415.0,428.75
Lilydale,170.25,180.0,186.66666666666666,192.0,200.0,206.25,220.0,237.0,266.25,295.0,311.25,332.5,340.0,341.25,350.5,361.25,373.75,383.75,398.75,407.5,415.0,428.75
Ferntree Gully,174.5,180.0,185.0,192.2,196.25,203.75,216.25,237.5,265.0,288.75,312.5,325.0,322.5,336.25,343.75,352.5,370.0,386.25,398.75,402.5,418.25,422.5
Ringwood,166.25,175.0,183.33333333333334,190.0,195.0,203.75,216.25,236.25,265.0,291.25,312.5,325.25,332.5,333.75,346.25,357.5,366.25,381.25,392.5,400.0,412.5,410.0
Rowville,205.0,215.0,225.0,237.0,245.25,253.75,275.25,292.0,327.5,340.75,360.0,380.0,391.25,398.75,400.0,405.0,420.0,439.0,446.25,450.0,452.5,465.0
Wantirna,201.25,211.25,218.33333333333334,225.0,230.0,238.75,248.75,267.5,305.0,330.0,347.5,358.75,365.5,372.5,380.0,395.0,400.0,420.0,435.0,441.25,442.5,450.0
Scoresby,201.25,211.25,218.33333333333334,225.0,230.0,238.75,248.75,267.5,305.0,330.0,347.5,358.75,365.5,372.5,380.0,395.0,400.0,420.0,435.0,441.25,442.5,450.0
Berwick,187.5,198.75,200.0,210.0,216.5,225.0,237.5,251.75,285.25,317.5,333.75,350.0,350.0,350.0,358.25,368.5,380.0,390.0,397.5,396.25,398.75,410.0
Cranbourne,155.0,160.0,163.33333333333334,169.0,178.75,187.5,201.25,225.0,252.5,273.75,291.25,316.25,326.25,333.75,345.0,351.25,363.75,376.25,380.0,386.25,390.0,401.25
Dandenong,130.0,137.5,143.33333333333334,150.0,154.5,161.25,168.75,186.25,222.25,248.0,268.75,280.0,287.5,293.75,302.5,308.75,318.75,332.5,345.0,350.0,350.0,350.0
Dandenong North,160.0,167.5,171.66666666666666,176.0,182.5,190.0,198.75,216.25,244.5,273.75,288.75,300.0,300.0,305.0,316.25,321.25,331.25,343.75,352.5,359.5,360.0,363.75
Endeavour Hills,160.0,167.5,171.66666666666666,176.0,182.5,190.0,198.75,216.25,244.5,273.75,288.75,300.0,300.0,305.0,316.25,321.25,331.25,343.75,352.5,359.5,360.0,363.75
Narre Warren,167.5,173.75,180.0,187.0,195.0,203.75,213.75,231.5,257.5,285.0,307.5,322.5,330.0,330.0,337.5,342.25,352.5,362.5,373.75,380.0,380.0,392.5
Hampton Park,167.5,173.75,180.0,187.0,195.0,203.75,213.75,231.5,257.5,285.0,307.5,322.5,330.0,330.0,337.5,342.25,352.5,362.5,373.75,380.0,380.0,392.5
Noble Park,141.25,145.0,150.0,156.0,162.5,168.75,178.75,198.75,235.0,267.5,283.25,291.25,293.25,300.0,301.25,312.5,321.25,335.0,348.75,355.0,360.0,358.75
Pakenham,157.5,163.75,166.66666666666666,175.0,185.0,192.5,201.25,217.5,247.5,271.25,288.75,304.75,308.75,303.75,312.5,318.75,331.25,342.5,350.0,352.5,353.75,367.5
Springvale,146.25,151.25,158.33333333333334,165.0,171.25,176.25,189.25,212.75,255.0,283.75,300.0,308.75,318.75,320.0,328.75,342.75,352.5,367.5,381.25,393.75,396.5,390.0
Dromana,138.75,147.5,158.33333333333334,168.0,171.25,178.75,181.25,198.75,232.5,250.0,268.75,287.5,293.75,300.0,310.0,323.75,340.0,360.0,375.0,381.25,392.5,445.0
Portsea,138.75,147.5,158.33333333333334,168.0,171.25,178.75,181.25,198.75,232.5,250.0,268.75,287.5,293.75,300.0,310.0,323.75,340.0,360.0,375.0,381.25,392.5,445.0
Frankston,151.25,157.5,163.33333333333334,173.0,180.0,187.5,195.0,211.25,238.75,257.5,274.5,292.5,297.25,300.0,303.75,315.0,328.75,343.75,356.25,361.75,371.25,386.25
Hastings,145.0,151.25,163.33333333333334,175.0,181.25,187.5,198.75,213.75,238.75,261.25,276.25,297.5,300.0,301.25,315.0,321.25,337.5,355.0,372.5,387.5,405.0,427.5
Flinders,145.0,151.25,163.33333333333334,175.0,181.25,187.5,198.75,213.75,238.75,261.25,276.25,297.5,300.0,301.25,315.0,321.25,337.5,355.0,372.5,387.5,405.0,427.5
Mount Eliza,176.25,190.0,203.33333333333334,217.0,228.75,233.75,246.25,261.25,297.5,318.75,342.5,365.0,373.75,385.0,393.75,408.75,425.0,450.0,463.75,485.0,494.75,546.25
Mornington,176.25,190.0,203.33333333333334,217.0,228.75,233.75,246.25,261.25,297.5,318.75,342.5,365.0,373.75,385.0,393.75,408.75,425.0,450.0,463.75,485.0,494.75,546.25
Mount Martha,176.25,190.0,203.33333333333334,217.0,228.75,233.75,246.25,261.25,297.5,318.75,342.5,365.0,373.75,385.0,393.75,408.75,425.0,450.0,463.75,485.0,494.75,546.25
Seaford,153.75,162.5,171.66666666666666,179.0,188.75,197.5,203.75,220.25,243.75,266.25,287.0,305.0,310.0,317.25,320.0,328.75,343.75,352.5,366.25,370.0,377.5,392.5
Carrum Downs,153.75,162.5,171.66666666666666,179.0,188.75,197.5,203.75,220.25,243.75,266.25,287.0,305.0,310.0,317.25,320.0,328.75,343.75,352.5,366.25,370.0,377.5,392.5
Belmont,150.0,156.25,163.33333333333334,174.0,185.0,193.75,211.25,226.25,246.25,266.25,278.75,303.75,316.25,322.5,322.5,330.0,336.25,350.0,363.75,378.75,384.5,406.25
Grovedale,150.0,156.25,163.33333333333334,174.0,185.0,193.75,211.25,226.25,246.25,266.25,278.75,303.75,316.25,322.5,322.5,330.0,336.25,350.0,363.75,378.75,384.5,406.25
Corio,129.5,131.25,135.33333333333334,143.0,150.0,153.75,160.0,167.5,182.5,195.0,216.25,235.0,246.25,250.0,250.0,250.0,250.0,256.25,272.5,287.5,300.0,310.0
Geelong,138.75,146.25,155.0,163.0,177.5,183.25,188.75,202.5,221.25,246.25,262.5,285.0,290.5,295.0,300.0,300.0,307.5,315.0,326.25,345.0,352.5,371.25
Newcomb,138.75,146.25,155.0,163.0,177.5,183.25,188.75,202.5,221.25,246.25,262.5,285.0,290.5,295.0,300.0,300.0,307.5,315.0,326.25,345.0,352.5,371.25
Herne Hill,122.5,131.25,141.66666666666666,152.0,162.5,168.75,178.25,195.0,216.25,231.5,251.25,271.25,282.5,288.75,294.5,290.0,298.75,321.25,329.5,352.5,365.0,376.25
Geelong West,122.5,131.25,141.66666666666666,152.0,162.5,168.75,178.25,195.0,216.25,231.5,251.25,271.25,282.5,288.75,294.5,290.0,298.75,321.25,329.5,352.5,365.0,376.25
Lara,163.75,171.25,178.33333333333334,183.0,198.75,205.75,214.25,232.5,248.75,265.0,277.0,298.25,316.25,323.75,322.0,327.5,336.25,350.0,371.25,388.75,400.0,420.75
Newtown,143.75,151.25,160.0,169.0,178.75,192.5,198.75,210.0,238.75,256.25,273.75,298.5,303.75,305.0,313.75,320.0,328.75,350.0,363.75,378.75,390.75,407.5
North Geelong,136.25,145.0,151.66666666666666,161.0,171.25,181.25,188.75,201.25,223.75,242.5,261.25,278.75,297.5,295.0,298.75,307.5,310.0,322.25,338.0,348.75,355.0,377.5
Ballarat,137.0,141.25,150.0,160.0,171.25,178.75,182.5,187.5,205.0,218.75,230.0,243.75,252.5,260.0,261.25,265.0,266.25,275.0,287.5,308.25,317.5,331.25
Mount Clear,140.0,146.25,160.0,165.0,177.5,180.0,186.25,192.5,207.5,239.5,255.0,279.5,300.0,291.25,300.0,300.0,314.5,311.25,325.75,340.0,350.0,356.25
Buninyong,140.0,146.25,160.0,165.0,177.5,180.0,186.25,192.5,207.5,239.5,255.0,279.5,300.0,291.25,300.0,300.0,314.5,311.25,325.75,340.0,350.0,356.25
Sebastopol,130.0,135.0,140.66666666666666,150.0,160.0,167.5,172.0,180.0,190.0,205.0,217.5,236.25,250.0,252.0,260.0,257.5,253.5,260.0,276.25,290.0,310.0,337.5
Delacombe,130.0,135.0,140.66666666666666,150.0,160.0,167.5,172.0,180.0,190.0,205.0,217.5,236.25,250.0,252.0,260.0,257.5,253.5,260.0,276.25,290.0,310.0,337.5
Wendouree,133.75,142.5,155.0,168.0,180.0,181.25,185.0,193.75,207.5,230.0,240.0,260.0,268.75,276.0,280.0,282.5,288.75,293.75,303.75,325.0,342.5,362.5
Alfredton,133.75,142.5,155.0,168.0,180.0,181.25,185.0,193.75,207.5,230.0,240.0,260.0,268.75,276.0,280.0,282.5,288.75,293.75,303.75,325.0,342.5,362.5
Bendigo,132.5,138.75,145.0,158.2,168.75,177.5,183.75,193.75,207.5,218.75,235.25,257.0,270.0,273.25,273.75,279.5,271.25,277.0,287.5,307.5,332.5,350.0
Flora Hill,141.25,147.5,158.33333333333334,171.0,183.75,191.25,198.75,207.5,213.0,225.75,241.25,260.0,275.0,275.0,278.75,273.75,273.75,281.25,291.25,298.75,317.5,345.0
East Bendigo,141.25,147.5,158.33333333333334,171.0,183.75,191.25,198.75,207.5,213.0,225.75,241.25,260.0,275.0,275.0,278.75,273.75,273.75,281.25,291.25,298.75,317.5,345.0
Golden Square,145.75,150.0,153.33333333333334,166.0,182.5,190.0,193.75,202.5,210.75,222.5,237.5,255.75,275.0,280.0,280.0,280.0,278.75,282.25,296.25,305.0,324.5,347.25
Kangaroo Flat,145.75,150.0,153.33333333333334,166.0,182.5,190.0,193.75,202.5,210.75,222.5,237.5,255.75,275.0,280.0,280.0,280.0,278.75,282.25,296.25,305.0,324.5,347.25
North Bendigo,133.75,138.75,145.0,158.0,168.75,176.25,182.5,193.75,202.5,216.75,231.25,250.0,268.75,281.25,278.75,280.0,280.0,280.0,290.0,301.25,318.75,346.25
Bairnsdale,127.5,132.5,136.66666666666666,147.4,166.25,175.0,180.0,187.5,200.0,210.0,227.5,247.0,255.0,260.0,263.75,272.5,277.5,280.0,291.25,300.0,305.0,335.0
Benalla,123.75,130.0,135.0,151.2,162.5,170.0,177.5,180.0,183.75,189.25,200.0,203.75,212.0,213.75,226.25,230.0,230.75,242.5,252.5,287.5,307.5,337.5
Castlemaine,126.25,136.25,141.66666666666666,153.0,167.5,180.0,182.5,196.25,207.5,220.0,237.5,267.0,281.25,298.75,301.25,301.25,307.5,317.5,326.25,332.5,348.75,370.0
Echuca,155.0,160.0,166.66666666666666,177.0,183.75,187.5,192.25,202.5,213.75,220.0,226.25,232.5,247.5,253.75,267.0,280.0,287.5,296.25,302.5,318.25,340.0,358.25
Hamilton,110.0,106.25,110.0,120.0,150.0,178.75,190.0,182.0,183.75,197.5,205.0,215.0,230.0,230.0,231.75,230.0,230.0,231.25,240.0,260.75,270.75,287.5
Horsham,121.25,125.0,130.0,141.0,151.25,155.0,160.0,165.0,172.5,179.5,190.0,201.25,220.0,232.5,245.0,250.0,250.0,258.75,262.5,273.75,278.75,306.25
Mildura,143.75,150.0,151.66666666666666,160.0,167.5,175.0,181.25,191.25,198.75,200.0,202.5,215.0,226.25,238.75,248.75,261.25,270.75,280.0,282.5,301.25,312.5,332.5
Moe,91.25,90.0,91.66666666666667,98.0,107.0,114.5,120.0,128.75,134.5,143.75,158.75,177.0,178.75,190.0,192.5,202.5,201.25,208.75,212.0,227.0,247.0,265.0
Newborough,91.25,90.0,91.66666666666667,98.0,107.0,114.5,120.0,128.75,134.5,143.75,158.75,177.0,178.75,190.0,192.5,202.5,201.25,208.75,212.0,227.0,247.0,265.0
Morwell,100.0,100.0,101.66666666666667,115.0,121.25,126.25,130.0,135.0,140.0,148.75,160.0,170.75,177.5,184.5,187.5,196.25,200.0,201.25,210.0,222.5,228.75,250.0
Ocean Grove,151.25,160.0,171.66666666666666,178.0,185.0,197.5,212.0,228.75,265.0,291.25,302.5,333.25,350.0,350.0,350.0,352.5,365.0,382.0,398.25,423.25,427.5,482.5
Barwon Heads,151.25,160.0,171.66666666666666,178.0,185.0,197.5,212.0,228.75,265.0,291.25,302.5,333.25,350.0,350.0,350.0,352.5,365.0,382.0,398.25,423.25,427.5,482.5
Portland,110.0,113.75,123.33333333333333,135.0,151.0,160.0,171.25,180.0,196.25,200.0,200.75,210.0,226.25,230.0,230.0,230.0,230.0,235.0,250.0,268.75,300.0,342.5
Sale,120.0,120.0,123.33333333333333,131.0,142.5,150.0,155.5,171.25,188.75,205.0,220.0,231.0,240.0,247.5,256.25,273.75,275.75,268.75,268.75,282.5,298.75,335.0
Maffra,120.0,120.0,123.33333333333333,131.0,142.5,150.0,155.5,171.25,188.75,205.0,220.0,231.0,240.0,247.5,256.25,273.75,275.75,268.75,268.75,282.5,298.75,335.0
Seymour,125.0,129.75,130.0,136.0,145.75,150.0,153.75,160.0,167.5,178.75,178.75,202.5,210.75,212.75,225.0,246.5,250.0,258.75,271.5,285.0,298.25,305.75
Shepparton,143.75,148.75,156.66666666666666,164.0,167.5,176.25,180.0,188.75,196.25,206.25,220.0,232.5,245.0,250.0,255.0,260.0,263.75,270.0,277.5,284.5,295.0,315.0
Swan Hill,135.0,138.75,140.0,148.0,150.0,158.75,166.25,176.25,187.5,193.75,201.25,210.0,213.75,220.0,223.25,228.25,237.5,243.75,248.75,259.5,272.5,295.0
Torquay,162.5,176.25,190.0,209.0,221.25,241.25,264.5,277.5,301.25,334.5,355.0,386.25,390.0,395.0,402.5,422.5,445.0,460.0,487.5,500.0,502.5,547.5
Traralgon,123.75,126.25,130.0,148.0,159.5,167.5,175.0,186.25,205.75,223.75,232.5,248.75,250.0,256.25,263.75,270.0,270.0,276.25,278.75,287.5,307.5,345.0
Wangaratta,127.5,131.25,135.0,141.0,153.75,162.5,172.5,181.25,187.5,196.25,206.25,216.25,221.25,235.0,247.5,250.0,260.0,266.25,274.25,287.25,300.0,340.0
Warragul,133.75,138.75,151.66666666666666,162.0,173.75,182.5,187.5,193.25,202.75,220.0,235.0,250.0,260.0,267.5,273.0,280.0,293.75,305.0,323.75,347.0,360.0,383.75
Warrnambool,133.75,141.25,148.33333333333334,162.0,178.75,193.75,203.25,212.5,222.5,240.25,262.5,281.25,282.5,280.0,280.0,285.0,288.75,292.25,300.0,322.5,342.5,365.0
Wodonga,147.5,150.0,153.33333333333334,166.0,181.25,192.5,210.0,218.75,227.5,233.75,241.25,250.0,261.25,270.0,280.0,287.5,290.0,298.75,302.5,318.75,330.0,355.0
